case_id,customer_id,officer_id,step_name,action,timestamp,loan_amount_sanctioned,collateral_value,collateral_type,product_type,customer_segment,credit_score_bureau,emi_to_income_ratio,customer_age,employment_type,loan_tenor_months,ltv_ratio,mandate_status,kyc_status,sanctions_screening,risk_grade,notes
SPL-001,CUST-2401,OFF001,Post-Disbursement Documentation,completed,2025-01-09T11:40:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,Active,Verified,No,B,Post-disbursement documentation completed. Loan agreement copy provided to customer. All documents filed properly in digital loan management system.
SPL-001,CUST-2401,OFF001,Post-Disbursement Quality Audit,completed,2025-01-09T16:12:00,450000,620000,Property,Secured Personal Loan - Salaried,Regular,735,42,34,Salaried,60,72.6,Active,Verified,No,B,Post-disbursement QA completed within 48 hours. All checklist items verified. Quality check passed. No adverse findings. Case closed as compliant.
SPL-002,CUST-2402,OFF002,Application Received and Registration,completed,2025-01-06T10:05:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,,,A,High value loan application received from premium customer. Self-employed professional with established business. Property documents indicate commercial property collateral.
SPL-002,CUST-2402,OFF002,Initial Screening and Data Capture,completed,2025-01-06T10:38:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,,,A,Screening completed. Premium segment customer with existing relationship. Business vintage 8 years. All initial eligibility criteria satisfied.
SPL-002,CUST-2402,OFF002,Customer KYC and AML Verification,completed,2025-01-06T11:52:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,Verified,No,A,KYC verification completed. Enhanced due diligence performed for high value loan. AML checks clear. Source of income verified through business financials and ITR.
SPL-002,CUST-2402,OFF002,Document Collection and Verification,completed,2025-01-06T13:47:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,Verified,No,A,Self-employed documents collected: ITR last 2 years, business bank statements 12 months, GST returns, balance sheet and P&L. All documents verified authentic and current.
SPL-002,CUST-2402,OFF002,Credit Bureau Check,completed,2025-01-06T15:20:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,Verified,No,A,CIBIL score 765 - Excellent credit history. No adverse remarks. Existing loans serviced regularly. Total obligations within acceptable range for income level.
SPL-002,CUST-2402,OFF002,Income and Employment Verification,completed,2025-01-07T10:15:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,Verified,No,A,Business income verified through ITR and bank statements. Average monthly income 285000. Business stability confirmed through registration certificates and continuous operation.
SPL-002,CUST-2402,OFF002,Collateral Valuation and Verification,completed,2025-01-07T14:58:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,Verified,No,A,DEVIATION: Loan amount exceeds 1M but LTV is 80.6% which is above 80% threshold. This requires Credit Committee approval but proceeding with Regional Manager only.
SPL-002,CUST-2402,OFF002,Credit Risk Assessment and Scoring,completed,2025-01-08T09:42:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,Verified,No,A,Risk Grade A assigned. Excellent credit profile. Strong business fundamentals. Despite high LTV, customer segment and credit score support approval.
SPL-002,CUST-2402,OFF002,Loan Structuring and Pricing,completed,2025-01-08T10:35:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,Verified,No,A,Loan structured for 72 months. Interest rate 10.8% (preferential rate for premium customer). EMI 47500. Pricing approved.
SPL-002,CUST-2402,OFF002,Credit Approval (Level 2 - Regional Credit Manager),approved,2025-01-08T11:28:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,Verified,No,A,Regional Credit Manager approved. However DEVIATION: LTV 80.6% exceeds 80% limit and requires Credit Committee approval as per SOP Section 8.2. This approval is insufficient.
SPL-002,CUST-2402,OFF002,Legal Security Creation and Registration,completed,2025-01-09T13:45:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,,Verified,No,A,Legal documentation completed. Mortgage registered. Property insurance obtained for full loan amount. Bank named as loss payee.
SPL-002,CUST-2402,OFF002,EMI Mandate Setup (NACH/Standing Instruction),completed,2025-01-09T15:20:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,Active,Verified,No,A,NACH mandate set up on business account. Mandate amount 52000. Status Active and confirmed.
SPL-002,CUST-2402,OFF002,Final Pre-Disbursement Quality Check,completed,2025-01-10T09:15:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,Active,Verified,No,A,QC completed. All conditions met except Credit Committee approval for high LTV. Quality checker approved despite this deviation.
SPL-002,CUST-2402,OFF002,Loan Disbursement,completed,2025-01-10T10:38:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,Active,Verified,No,A,Amount 2500000 disbursed to customer account. High value disbursement completed through RTGS.
SPL-002,CUST-2402,OFF002,Post-Disbursement Documentation,completed,2025-01-10T13:20:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,Active,Verified,No,A,Post-disbursement documents provided to customer. Repayment schedule and welcome letter sent.
SPL-002,CUST-2402,OFF002,Post-Disbursement Quality Audit,completed,2025-01-10T16:45:00,2500000,3100000,Property,Secured Personal Loan - Self-Employed,Premium,765,38,42,Self-Employed,72,80.6,Active,Verified,No,A,QA completed within 48 hours. Noted the LTV exception approval issue but case processed.
SPL-003,CUST-2403,OFF004,Application Received and Registration,completed,2025-01-06T11:20:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,,,C,Gold backed loan application. Customer bringing 22 carat gold ornaments as collateral. Quick processing required by customer.
SPL-003,CUST-2403,OFF004,Initial Screening and Data Capture,completed,2025-01-06T11:35:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,,,C,Initial screening done. Customer meets basic eligibility. Credit score on lower side at 680 which requires enhanced approval.
SPL-003,CUST-2403,OFF004,Credit Bureau Check,completed,2025-01-06T12:05:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,,,C,Credit score 680 obtained. Score is in 650-699 range requiring Regional Credit Manager approval per SOP Section 8.2.
SPL-003,CUST-2403,OFF004,Customer KYC and AML Verification,completed,2025-01-06T14:22:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,Verified,No,C,KYC verification done. Documents verified. No sanctions hits.
SPL-003,CUST-2403,OFF004,Document Collection and Verification,completed,2025-01-06T15:08:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,Verified,No,C,DEVIATION: Documents collected but sequence violation - Credit Bureau Check done before KYC completion. Should be KYC first then Credit Check per mandatory sequence.
SPL-003,CUST-2403,OFF004,Collateral Valuation and Verification,completed,2025-01-07T09:50:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,Verified,No,C,Gold valuation completed. Total 950 grams of 22 carat gold. Market value 950000 as per current gold rates. Purity verified by certified assessor.
SPL-003,CUST-2403,OFF004,Income and Employment Verification,completed,2025-01-07T10:40:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,Verified,No,C,Business income verification done through bank statements. Income adequate for EMI repayment.
SPL-003,CUST-2403,OFF004,Credit Risk Assessment and Scoring,completed,2025-01-07T11:25:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,Verified,No,C,Risk Grade C assigned due to credit score 680 in higher risk range. Gold collateral mitigates risk to some extent.
SPL-003,CUST-2403,OFF004,Loan Structuring and Pricing,completed,2025-01-07T11:52:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,Verified,No,C,Loan tenor 48 months. Interest rate 13.5% (higher rate due to Risk Grade C). EMI 19800.
SPL-003,CUST-2403,OFF004,Credit Approval (Level 1 - Branch Manager),approved,2025-01-07T12:15:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,Verified,No,C,CRITICAL DEVIATION: Branch Manager approved Risk Grade C loan. Per SOP Section 8.2 credit score 650-699 requires Regional Credit Manager approval mandatory. This approval is insufficient.
SPL-003,CUST-2403,OFF004,Legal Security Creation and Registration,completed,2025-01-08T10:20:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,,Verified,No,C,Gold taken into physical possession. Stored in bank strong room. Insurance obtained for full gold value.
SPL-003,CUST-2403,OFF004,EMI Mandate Setup (NACH/Standing Instruction),completed,2025-01-08T11:05:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,Pending,Verified,No,C,DEVIATION: Mandate setup initiated but status showing as Pending not Active. Per SOP Section 9.2 mandate must be Active before disbursement.
SPL-003,CUST-2403,OFF004,Final Pre-Disbursement Quality Check,completed,2025-01-08T11:45:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,Pending,Verified,No,C,QC signed off. However multiple deviations present: insufficient approval authority, mandate not active. QC should have caught these.
SPL-003,CUST-2403,OFF004,Loan Disbursement,completed,2025-01-08T14:30:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,Pending,Verified,No,C,CRITICAL DEVIATION: Loan disbursed despite mandate status Pending not Active. This violates mandatory pre-disbursement condition per Section 9.1.
SPL-003,CUST-2403,OFF004,Post-Disbursement Documentation,completed,2025-01-08T16:10:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,Pending,Verified,No,C,Documentation completed. Repayment schedule provided.
SPL-003,CUST-2403,OFF004,Post-Disbursement Quality Audit,completed,2025-01-10T17:20:00,750000,950000,Gold,Secured Personal Loan - Gold Backed,Regular,680,48,38,Self-Employed,48,78.9,Pending,Verified,No,C,TEMPORAL DEVIATION: QA completed 54 hours after disbursement. SOP Section 9.6 requires completion within 48 hours. Multiple compliance failures noted in this case.
SPL-004,CUST-2404,OFF005,Application Received and Registration,completed,2025-01-06T13:15:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,,,B,Small ticket loan application. Young customer with good credit score seeking property backed loan.
SPL-004,CUST-2404,OFF005,Initial Screening and Data Capture,completed,2025-01-06T13:42:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,,,B,Initial verification completed successfully. All basic criteria met for processing.
SPL-004,CUST-2404,OFF005,Customer KYC and AML Verification,completed,2025-01-06T14:35:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,Verified,No,B,KYC process completed using eKYC. Aadhaar based verification done. No AML concerns.
SPL-004,CUST-2404,OFF005,Document Collection and Verification,completed,2025-01-06T15:58:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,Verified,No,B,Documents collected and verified. Salary slips, bank statements, property papers all in order.
SPL-004,CUST-2404,OFF005,Credit Bureau Check,completed,2025-01-07T09:28:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,Verified,No,B,Credit check completed. Score 710 is good. No negative history found.
SPL-004,CUST-2404,OFF005,Income and Employment Verification,completed,2025-01-07T10:52:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,Verified,No,B,Employment verified with employer. Monthly salary 52000. Employment tenure 3 years.
SPL-004,CUST-2404,OFF005,Collateral Valuation and Verification,completed,2025-01-07T13:45:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,Verified,No,B,Property valuation done. Market value 250000. LTV 72% which is acceptable.
SPL-004,CUST-2404,OFF005,Credit Risk Assessment and Scoring,completed,2025-01-07T14:38:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,Verified,No,B,Risk assessment completed. Risk Grade B. Medium risk profile acceptable for approval.
SPL-004,CUST-2404,OFF005,Loan Structuring and Pricing,completed,2025-01-07T15:15:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,Verified,No,B,Loan structured for 36 months tenor. Interest rate 12.2%. EMI 6020 per month.
SPL-004,CUST-2404,OFF005,Credit Approval (Level 1 - Branch Manager),approved,2025-01-07T15:52:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,Verified,No,B,Branch Manager approval obtained. Small ticket loan within approval limits. All conditions satisfied.
SPL-004,CUST-2404,OFF005,Legal Security Creation and Registration,completed,2025-01-08T11:30:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,,Verified,No,B,Mortgage registration completed. Security documentation done properly.
SPL-004,CUST-2404,OFF005,EMI Mandate Setup (NACH/Standing Instruction),completed,2025-01-08T13:20:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,Active,Verified,No,B,NACH mandate registered successfully. Status Active. Ready for disbursement.
SPL-004,CUST-2404,OFF005,Final Pre-Disbursement Quality Check,completed,2025-01-08T14:45:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,Active,Verified,No,B,Pre-disbursement quality check completed. All conditions met.
SPL-004,CUST-2404,OFF005,Loan Disbursement,completed,2025-01-08T16:15:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,Active,Verified,No,B,Loan amount disbursed successfully via NEFT to customer account.
SPL-004,CUST-2404,OFF005,Post-Disbursement Documentation,completed,2025-01-09T09:40:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,Active,Verified,No,B,All post-disbursement documents provided to customer properly.
SPL-004,CUST-2404,OFF005,Post-Disbursement Quality Audit,completed,2025-01-09T15:30:00,180000,250000,Property,Secured Personal Loan - Salaried,Regular,710,39,28,Salaried,36,72.0,Active,Verified,No,B,Quality audit completed within 48 hours. Case fully compliant. No deviations found.
SPL-005,CUST-2405,OFF001,Application Received and Registration,completed,2025-01-06T14:25:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,,,A,Large ticket loan application from premium self-employed customer. High value property collateral.
SPL-005,CUST-2405,OFF001,Initial Screening and Data Capture,completed,2025-01-06T15:18:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,,,A,Screening completed. Premium customer with strong profile. High loan amount requires Credit Committee approval.
SPL-005,CUST-2405,OFF001,Customer KYC and AML Verification,completed,2025-01-07T10:05:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,Verified,No,A,Enhanced due diligence performed for high value loan. KYC completed thoroughly. Source of wealth verified.
SPL-005,CUST-2405,OFF001,Document Collection and Verification,completed,2025-01-07T11:42:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,Verified,No,A,Complete self-employed documentation collected: ITR 2 years, business financials, GST returns, bank statements. All authentic and verified.
SPL-005,CUST-2405,OFF001,Credit Bureau Check,completed,2025-01-07T13:15:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,Verified,No,A,Excellent credit score 755. Clean credit history. Existing obligations well managed.
SPL-005,CUST-2405,OFF001,Income and Employment Verification,completed,2025-01-07T14:50:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,Verified,No,A,Business income verified. Average monthly income 420000 over last 24 months. Business vintage 12 years - very stable.
SPL-005,CUST-2405,OFF001,Collateral Valuation and Verification,completed,2025-01-08T10:35:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,Verified,No,A,Property valuation completed by two independent valuers as required for high value. Market value 4200000. LTV 83.3% is high and requires Credit Committee approval.
SPL-005,CUST-2405,OFF001,Credit Risk Assessment and Scoring,completed,2025-01-08T11:52:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,Verified,No,A,Risk Grade A. Excellent profile despite high LTV. Strong compensating factors present.
SPL-005,CUST-2405,OFF001,Loan Structuring and Pricing,completed,2025-01-08T13:10:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,Verified,No,A,Loan structured for maximum tenor 84 months. Preferential interest rate 10.5% for premium customer. EMI 62500.
SPL-005,CUST-2405,OFF001,Credit Approval (Level 1 - Branch Manager),approved,2025-01-08T14:25:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,Verified,No,A,DEVIATION: Branch Manager approved 3.5M loan. Per SOP Section 8.1 loans above 3M require Credit Committee approval mandatory. This approval insufficient.
SPL-005,CUST-2405,OFF001,Legal Security Creation and Registration,completed,2025-01-09T11:45:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,,Verified,No,A,Legal documentation completed. High value property mortgage registered properly with all formalities.
SPL-005,CUST-2405,OFF001,EMI Mandate Setup (NACH/Standing Instruction),completed,2025-01-09T13:30:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,Active,Verified,No,A,NACH mandate set up on business account. Mandate amount 68000. Status confirmed Active.
SPL-005,CUST-2405,OFF001,Final Pre-Disbursement Quality Check,completed,2025-01-09T14:55:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,Active,Verified,No,A,QC completed but missed the Credit Committee approval requirement for high value loan. Approved for disbursement.
SPL-005,CUST-2405,OFF001,Loan Disbursement,completed,2025-01-09T16:20:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,Active,Verified,No,A,High value loan 3500000 disbursed via RTGS. Transaction confirmed successful.
SPL-005,CUST-2405,OFF001,Post-Disbursement Documentation,completed,2025-01-10T10:15:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,Active,Verified,No,A,All post-disbursement documentation completed. Customer provided with all necessary documents.
SPL-005,CUST-2405,OFF001,Post-Disbursement Quality Audit,completed,2025-01-10T15:40:00,3500000,4200000,Property,Secured Personal Loan - Self-Employed,Premium,755,44,45,Self-Employed,84,83.3,Active,Verified,No,A,Post-disbursement QA done within timeline. Approval authority deviation noted but case already disbursed.
SPL-006,CUST-2406,OFF004,Application Received and Registration,completed,2025-01-06T15:45:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,,,B,Application received for property backed loan. Customer has borderline credit score requiring enhanced scrutiny.
SPL-006,CUST-2406,OFF004,Initial Screening and Data Capture,completed,2025-01-06T16:10:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,,,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,Document Collection and Verification,completed,2025-01-07T09:15:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,Verified,No,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,Customer KYC and AML Verification,completed,2025-01-07T09:40:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,Verified,No,B,DEVIATION: KYC done after document verification. Correct sequence is KYC before document verification per mandatory workflow Section 2.1.
SPL-006,CUST-2406,OFF004,Credit Bureau Check,completed,2025-01-07T10:15:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,Verified,No,B,Credit score 695 falls in 650-699 range. Requires Regional Credit Manager approval per SOP Section 8.2.
SPL-006,CUST-2406,OFF004,Income and Employment Verification,completed,2025-01-07T10:48:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,Verified,No,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,Collateral Valuation and Verification,completed,2025-01-07T11:30:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,Verified,No,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,Credit Risk Assessment and Scoring,completed,2025-01-07T11:55:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,Verified,No,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,Loan Structuring and Pricing,completed,2025-01-07T12:18:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,Verified,No,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,Credit Approval (Level 1 - Branch Manager),approved,2025-01-07T12:42:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,Verified,No,B,DEVIATION: Branch Manager approved credit score 695 case. SOP Section 8.2 requires Regional Manager approval for scores 650-699. FW PATTERN: Repetitive generic notes showing lack of due diligence.
SPL-006,CUST-2406,OFF004,Legal Security Creation and Registration,completed,2025-01-08T10:05:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,,Verified,No,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,EMI Mandate Setup (NACH/Standing Instruction),completed,2025-01-08T10:42:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,Set,Verified,No,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,Final Pre-Disbursement Quality Check,completed,2025-01-08T11:15:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,Set,Verified,No,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,Loan Disbursement,completed,2025-01-08T11:50:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,Set,Verified,No,B,Verified and approved as per policy.
SPL-006,CUST-2406,OFF004,Post-Disbursement Documentation,completed,2025-01-08T13:25:00,850000,1050000,Property,Secured Personal Loan - Salaried,Regular,695,52,36,Salaried,60,81.0,Set,Verified,No,B,Verified and approved as per policy.
